Date,Open,High,Low,Close,Adj Close,Volume
4/25/2003,1.56875,1.57125,1.505,1.51,1.016683,979200
4/28/2003,1.5225,1.56375,1.5225,1.535,1.033516,1275200
4/29/2003,1.55625,1.6,1.55625,1.585,1.067181,1404000
4/30/2003,1.52125,1.5325,1.48125,1.49375,1.005742,4572800
5/1/2003,1.49375,1.4975,1.385,1.425,0.959453,6383200
5/2/2003,1.475,1.48625,1.40625,1.4075,0.94767,3861600
5/5/2003,1.4125,1.49875,1.4125,1.49625,1.007425,5194400
5/6/2003,1.49875,1.55,1.4675,1.4675,0.988068,2504800
5/7/2003,1.5125,1.66125,1.50625,1.66,1.117678,7851200
5/8/2003,1.6475,1.65375,1.60625,1.63125,1.098321,3544800
5/9/2003,1.62875,1.6675,1.62625,1.66125,1.11852,2789600
5/12/2003,1.65,1.735,1.625,1.71375,1.153868,2990400
5/13/2003,1.625,1.67375,1.615,1.62875,1.096638,5832000
5/14/2003,1.65,1.70875,1.65,1.66875,1.12357,3248000
5/15/2003,1.68125,1.68875,1.62,1.62375,1.093271,2109600
5/16/2003,1.60625,1.6375,1.6,1.625,1.094113,3456800
5/19/2003,1.6125,1.61875,1.54375,1.55375,1.04614,1703200
5/20/2003,1.56,1.5875,1.47,1.51,1.016683,5705600
5/21/2003,1.51125,1.56,1.49625,1.54375,1.039407,3861600
5/22/2003,1.5625,1.5625,1.41875,1.44375,0.972077,12603200
5/23/2003,1.45,1.4875,1.44375,1.46875,0.988909,3620000
5/27/2003,1.4725,1.5225,1.46875,1.50625,1.014158,6578400
5/28/2003,1.575,1.58625,1.52875,1.55875,1.049506,5043200
5/29/2003,1.58125,1.59375,1.55,1.55875,1.049506,3565600
5/30/2003,1.575,1.64,1.56625,1.56625,1.054556,5804800
6/2/2003,1.56875,1.63,1.56875,1.58,1.063814,6280000
6/3/2003,1.6,1.6,1.5575,1.5775,1.062131,3224800
6/4/2003,1.5875,1.6,1.5625,1.575,1.060448,2476000
6/5/2003,1.575,1.6125,1.5675,1.60625,1.081488,2214400
6/6/2003,1.60625,1.65,1.5975,1.6125,1.085696,2603200
6/9/2003,1.6125,1.62375,1.57625,1.59375,1.073072,1652800
6/10/2003,1.5925,1.61,1.58375,1.59375,1.073072,1913600
6/11/2003,1.6,1.60625,1.5875,1.59375,1.073072,985600
6/12/2003,1.60625,1.62875,1.5875,1.58875,1.069705,2263200
6/13/2003,1.58125,1.61875,1.57625,1.59375,1.073072,856800
6/16/2003,1.595,1.65625,1.595,1.64875,1.110104,3298400
6/17/2003,1.6625,1.7775,1.65875,1.735,1.168176,7159200
6/18/2003,1.73375,1.75125,1.70625,1.73375,1.167334,1871200
6/19/2003,1.73375,1.7525,1.67625,1.6925,1.13956,2144800
6/20/2003,1.69125,1.71625,1.68,1.6975,1.142927,643200
6/23/2003,1.7,1.7,1.6375,1.6375,1.102529,2215200
6/24/2003,1.6375,1.68375,1.6375,1.6725,1.126094,2541600
6/25/2003,1.685,1.685,1.65,1.65,1.110945,876000
6/26/2003,1.6375,1.64,1.5925,1.6175,1.089063,3217600
6/27/2003,1.6175,1.6275,1.56625,1.56875,1.05624,4385600
6/30/2003,1.56875,1.62125,1.56625,1.615,1.08738,7811200
7/1/2003,1.63125,1.65125,1.59375,1.64875,1.110104,2725600
7/2/2003,1.65,1.73,1.6425,1.7,1.14461,3976000
7/3/2003,1.6875,1.6875,1.65625,1.6625,1.119361,698400
7/7/2003,1.675,1.725,1.675,1.72125,1.158918,2100800
7/8/2003,1.73375,1.84375,1.71625,1.82375,1.227931,7599200
7/9/2003,1.82875,1.85625,1.79875,1.85625,1.249813,2591200
7/10/2003,1.8375,1.845,1.7875,1.7875,1.203524,2032800
7/11/2003,1.78375,1.8,1.74125,1.75625,1.182483,3182400
7/14/2003,1.7875,1.8325,1.7875,1.8,1.21194,2216800
7/15/2003,1.8125,1.81625,1.74375,1.765,1.188375,1241600
7/16/2003,1.765,1.7675,1.70125,1.7025,1.146294,1678400
7/17/2003,1.65625,1.6875,1.6225,1.6875,1.136194,6809600
7/18/2003,1.6875,1.74,1.66125,1.69375,1.140402,1889600
7/21/2003,1.69375,1.69375,1.65,1.65,1.110945,1136800
7/22/2003,1.65625,1.715,1.65625,1.715,1.15471,780800
7/23/2003,1.7025,1.7025,1.6575,1.6575,1.115995,1536800
7/24/2003,1.67,1.70875,1.67,1.68125,1.131986,3165600
7/25/2003,1.6875,1.7125,1.65875,1.6875,1.136194,4858400
7/28/2003,1.68125,1.76875,1.68125,1.7625,1.186692,1265600
7/29/2003,1.7725,1.825,1.73375,1.78125,1.199316,1875200
